x;y
130;130
130;130
129;130
125;130
123;130
121;130
119;130
113;128
110;128
106;127
99;125
95;124
94;121
92;119
89;114
88;111
86;109
86;105
85;102
85;95
84;91
84;88
83;84
82;79
82;76
81;73
81;71
73;65
69;60
64;55
59;51
50;41
46;37
42;34
39;30
32;24
28;20
25;18
21;17
14;16
10;15
6;14
3;14
-3;12
-7;11
-11;10
-14;9
-22;7
-26;5
-30;4
-35;3
-43;0
-47;-4
-52;-8
-57;-13
-66;-22
-68;-26
-69;-30
-69;-33
-71;-41
-71;-44
-72;-48
-73;-51
-74;-59
-74;-63
-75;-66
-75;-70
-79;-79
-81;-83
-83;-88
-86;-92
-90;-101
-92;-105
-95;-110
-97;-114
-101;-123
-103;-127
-104;-130
-105;-130
-107;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
