x;y
126;-124
126;-118
122;-113
117;-108
108;-99
108;-99
98;-89
93;-84
89;-80
79;-70
75;-67
71;-65
68;-64
61;-60
57;-58
54;-56
50;-53
47;-49
40;-43
36;-39
32;-36
23;-26
18;-21
13;-16
4;-7
4;-7
-2;0
-6;2
-11;7
-19;16
-24;20
-28;25
-33;29
-39;36
-43;39
-46;42
-52;47
-52;47
-56;52
-58;55
-59;57
-61;60
-64;65
-65;68
-67;71
-68;73
-70;79
-72;81
-74;84
-79;89
-82;91
-84;92
-87;93
-95;95
-99;96
-103;97
-107;97
-115;97
-118;97
-122;97
-126;97
-130;99
-134;102
-134;105
-135;107
-136;112
-136;116
-136;120
-136;123
-136;127
-136;130
-136;130
-137;130
-137;130
-139;130
-139;130
-140;130
-140;130
-140;130
-140;130
