x;y
-140;130
-140;122
-140;117
-140;113
-140;108
-140;99
-140;95
-140;91
-139;83
-139;79
-138;75
-137;66
-137;66
-135;58
-135;53
-134;49
-133;41
-133;36
-133;31
-133;27
-133;18
-133;15
-133;11
-133;4
-133;0
-133;-2
-133;-6
-133;-10
-133;-17
-133;-20
-133;-24
-133;-31
-133;-31
-132;-37
-131;-40
-131;-42
-130;-47
-129;-49
-128;-51
-128;-54
-127;-58
-126;-60
-125;-63
-125;-65
-125;-69
-125;-73
-125;-76
-125;-83
-125;-86
-125;-89
-125;-93
-125;-96
-124;-102
-123;-105
-122;-108
-120;-111
-119;-113
-118;-115
-117;-119
-116;-120
-115;-122
-114;-124
-114;-126
-114;-128
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
