time;x;y;fx;fy
63;120;-120;76;0
126;120;-120;76;0
189;121;-120;87;0
252;122;-120;87;0
315;123;-120;87;0
378;123;-120;87;0
441;124;-120;87;0
504;125;-120;55;0
567;125;-120;55;0
630;125;-120;55;0
693;125;-120;55;0
756;125;-120;55;0
819;125;-120;43;0
882;125;-117;43;348
945;125;-113;43;348
1008;125;-106;43;348
1071;125;-102;43;348
1134;125;-99;102;348
1197;126;-95;102;785
1260;128;-87;102;785
1323;128;-83;102;785
1386;129;-80;102;785
1449;130;-76;32;785
1512;130;-78;32;1063
1575;130;-81;32;1063
1638;130;-85;32;1063
1701;130;-89;32;1063
1764;130;-94;30;1406
1827;130;-90;30;1406
1890;130;-87;30;1406
1953;130;-83;30;1406
2016;130;-76;0;1406
2079;130;-72;0;714
2142;130;-68;0;714
2205;130;-65;0;714
2268;130;-58;-28;714
2331;130;-54;-28;714
2394;130;-50;-28;712
2457;130;-47;-28;712
2520;130;-39;-28;712
2583;130;-36;-30;712
2646;130;-32;-30;712
2709;130;-29;-30;712
2772;130;-21;-30;794
2835;130;-18;-30;794
2898;130;-14;-42;794
2961;130;-10;-42;794
3024;130;-3;-42;759
3087;130;0;-42;759
3150;130;3;-42;759
3213;130;7;-43;759
3276;130;14;-43;759
3339;130;18;-43;624
3402;130;22;-43;624
3465;130;25;-43;624
3528;130;33;-48;624
3591;130;36;-48;624
3654;130;40;-48;476
3717;130;44;-48;476
3780;130;51;-41;476
3843;130;54;-41;476
3906;130;58;-41;476
3969;130;62;-41;381
4032;130;69;-41;381
4095;130;73;0;381
4158;130;76;0;381
4221;130;80;0;381
4284;130;87;0;280
4347;130;90;0;280
4410;130;94;0;280
4473;130;97;0;280
4536;130;104;0;274
4599;130;107;0;274
4662;130;110;0;274
4725;130;114;0;274
4788;130;120;0;274
4851;130;124;0;274
4914;130;126;0;220
4977;130;129;0;220
5040;130;130;0;220
5103;130;130;0;220
5166;130;130;0;220
5229;130;130;36;0
5292;130;130;36;0
5355;130;130;36;-41
5418;130;130;36;-41
5481;130;130;36;-41
5544;130;130;0;-41
5607;130;130;0;-41
5670;130;130;0;0
5733;130;130;0;0
5796;130;130;0;0
5859;130;130;0;0
5922;130;130;0;0
5985;129;130;-189;-63
6048;125;130;-189;-63
6111;123;130;-189;-63
6174;121;130;-189;-63
6237;119;130;-189;-63
6300;113;128;-377;-116
6363;110;128;-377;-116
6426;106;127;-377;-116
6489;99;125;-377;-116
6552;95;124;-161;-231
6615;94;121;-161;-231
6678;92;119;-161;-231
6741;89;114;-161;-231
6804;88;111;-161;-231
6867;86;109;-70;-282
6930;86;105;-70;-282
6993;85;102;-70;-282
7056;85;95;-70;-282
