x;y
123;-111
123;-111
121;-111
119;-110
118;-107
114;-100
114;-96
119;-91
123;-86
133;-76
138;-72
143;-67
133;-57
133;-57
124;-48
119;-43
114;-38
124;-28
129;-23
134;-19
143;-9
148;-4
153;0
158;5
162;7
171;12
172;15
169;17
164;21
164;21
159;19
157;17
157;14
157;9
157;7
157;4
157;3
157;0
157;0
157;-1
157;-2
155;-4
154;-5
152;-6
149;-8
148;-9
144;-10
141;-11
138;-13
131;-15
128;-16
125;-17
120;-19
117;-21
115;-22
112;-22
105;-22
101;-22
97;-20
92;-18
83;-13
79;-11
75;-9
71;-8
64;-6
60;-6
56;-5
53;-5
45;-4
45;-4
38;-4
34;-4
30;-4
22;-4
18;-4
14;-4
11;-4
3;-4
0;-4
-7;-2
-11;-2
-11;-2
-18;0
-21;0
-31;9
-36;14
-41;19
-45;24
-55;33
-55;33
-64;43
-74;52
-79;57
-83;60
-87;61
-95;64
-99;65
-104;67
-108;69
-114;73
-115;76
-116;78
-116;81
-117;83
-118;88
-118;91
-118;94
-118;96
-118;98
-118;98
-119;98
-120;98
-120;98
-121;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;98
-122;100
-122;101
-122;102
