x;y
-122;104
-122;102
-122;98
-122;91
-122;91
-122;84
-122;80
-122;73
-122;69
-122;65
-122;62
-122;58
-122;51
-122;47
-122;44
-122;40
-122;33
-122;29
-122;25
-122;22
-122;14
-122;11
-122;7
-122;3
-122;0
-122;-7
-122;-10
-122;-14
-122;-21
-122;-21
-122;-28
-122;-36
-122;-39
-122;-39
-122;-47
-122;-54
-122;-58
-122;-61
-122;-65
-122;-72
-122;-76
-122;-79
-122;-83
-122;-87
-122;-94
-122;-98
-122;-101
-122;-109
-122;-112
-121;-117
-120;-125
-120;-129
-119;-130
-119;-130
-118;-130
-117;-130
-115;-130
-114;-130
-111;-130
-109;-130
-106;-130
-104;-130
-102;-130
-100;-130
-106;-130
-110;-130
-117;-130
