x;y
-120;-130
-112;-130
-109;-130
-105;-130
-101;-130
-102;-130
-110;-130
-113;-130
-117;-130
-120;-130
-124;-130
-128;-129
-132;-129
-141;-128
-146;-128
-150;-127
-155;-127
-158;-127
-166;-127
-169;-127
-168;-127
-165;-127
-161;-127
-157;-127
-154;-127
-150;-127
-146;-127
-139;-127
-135;-127
-128;-127
-124;-127
-121;-127
-114;-127
-110;-127
-106;-127
-103;-127
-104;-127
-107;-127
-111;-127
-118;-127
-122;-127
-121;-127
-117;-126
-109;-124
-105;-124
-97;-123
-94;-123
-90;-123
-83;-123
-79;-123
-76;-123
-72;-123
-65;-123
-65;-123
-57;-123
-55;-123
-58;-123
-62;-123
-69;-123
-73;-123
-76;-123
-68;-123
-65;-123
-61;-123
-54;-123
-50;-123
-47;-123
-43;-123
-39;-123
-32;-123
-28;-123
-25;-123
-21;-123
-17;-123
-14;-123
-6;-123
0;-123
4;-123
7;-123
11;-123
15;-123
18;-123
26;-123
29;-123
33;-123
40;-123
44;-123
48;-123
51;-123
55;-123
62;-123
70;-123
73;-123
77;-123
81;-123
83;-123
86;-123
88;-123
93;-123
96;-123
99;-123
101;-123
103;-123
104;-123
109;-123
112;-123
115;-123
119;-123
122;-123
125;-123
128;-123
129;-123
130;-123
131;-123
132;-123
