x;y
-126;130
-124;130
-116;129
-109;127
-105;126
-105;125
-109;124
-117;122
-121;121
-125;120
-129;119
-133;119
-142;117
-146;116
-150;115
-155;115
-158;114
-154;113
-146;111
-139;109
-135;108
-132;107
-129;107
-122;107
-119;107
-116;107
-114;107
-113;106
-111;105
-110;104
-108;104
-105;104
-101;103
-99;102
-96;102
-94;102
-87;101
-84;101
-81;101
-74;101
-71;101
-67;101
-63;101
-56;101
-52;101
-49;101
-45;101
-41;101
-38;101
-30;101
-23;101
-20;101
-16;101
-12;101
-9;101
-5;101
1;101
5;101
9;101
12;101
20;101
23;101
27;101
34;101
41;101
49;101
52;101
56;101
60;101
67;101
70;101
74;101
78;101
85;101
89;101
92;101
96;101
103;101
107;101
111;101
114;101
122;101
125;101
126;101
128;101
132;101
133;101
135;101
